id,province,party 1,votes 1,seats 1,party 2,votes 2,seats 2,party 3,votes 3,seats 3,party 4,votes 4,seats 4,party 5,votes 5,seats 5,party 6,votes 6,seats 6,party 7,votes 7,seats 7,party 8,votes 8,seats 8,party 9,votes 9,seats 9,party 10,votes 10,seats 10,party 11,votes 11,seats 11,party 12,votes 12,seats 12,party 13,votes 13,seats 13
04,Almería,PSOE,98924,2,PP,73952,2,Cs,56268,1,UP,28934,0,VOX,62648,1,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
11,Cádiz,PSOE,210131,3,PP,99394,1,Cs,131567,2,UP,110807,2,VOX,87438,1,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
14,Córdoba,PSOE,163000,2,PP,89203,1,Cs,79978,1,UP,70427,1,VOX,56919,1,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
18,Granada,PSOE,177478,3,PP,96588,1,Cs,90935,1,UP,71466,1,VOX,73914,1,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
21,Huelva,PSOE,97766,2,PP,44909,1,Cs,44842,1,UP,34396,1,VOX,33920,0,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
23,Jaén,PSOE,152932,3,PP,75885,1,Cs,61413,1,UP,40880,0,VOX,46934,0,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
29,Málaga,PSOE,251908,4,PP,144562,2,Cs,159316,2,UP,118537,2,VOX,114199,1,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
41,Sevilla,PSOE,416543,5,PP,162891,2,Cs,187243,2,UP,179497,2,VOX,136949,1,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
22,Huesca,PSOE,41354,1,PP,25149,1,Cs,24568,1,UP,17151,0,VOX,13389,0,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
44,Teruel,PSOE,25629,1,PP,18566,1,Cs,15357,1,UP,8224,0,VOX,8336,0,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
