territory_id,comunidad_code,province_code,province_name,poll_boxes,census_total,census_counted,census_counted_percentage,voters,voters_percentage,abstention,abstention_percentage,blank_votes,blank_votes_percentage,null_votes,null_votes_percentage,deputies_total,code 1,party 1,votes 1,percentage 1,seats 1,code 2,party 2,votes 2,percentage 2,seats 2,code 3,party 3,votes 3,percentage 3,seats 3,code 4,party 4,votes 4,percentage 4,seats 4
CI,01,04,Almería,00803,00459013,00457326,09963,00328244,07177,00129082,02823,00002348,00072,00002900,00088,006,0096,PSOE,00097889,03009,002,0083,PP,00073216,02250,002,0117,VOX,00062350,01916,001,0022,Cs,00055755,01714,001
CI,01,11,Cádiz,01521,00971711,00957512,09854,00663724,06932,00293788,03068,00008068,00123,00008246,00124,009,0096,PSOE,00206906,03157,003,0022,Cs,00129056,01969,002,0081,PODEMOS-IU LV CA-EQUO,00108732,01659,002,0083,PP,00097194,01483,001
CI,01,14,Córdoba,00913,00630692,00618609,09808,00469781,07594,00148828,02406,00004681,00101,00006910,00147,006,0096,PSOE,00160083,03458,002,0083,PP,00086870,01877,001,0022,Cs,00078286,01691,001,0081,PODEMOS-IU LV CA-EQUO,00068010,01469,001
CI,01,18,Granada,01101,00703524,00696825,09905,00523977,07519,00172848,02481,00003687,00071,00007595,00145,007,0096,PSOE,00175017,03389,003,0083,PP,00095140,01842,001,0022,Cs,00089539,01734,001,0117,VOX,00072903,01412,001
CI,01,21,Huelva,00649,00390187,00376558,09651,00258702,06870,00117856,03130,00002752,00108,00004173,00162,005,0096,PSOE,00094385,03708,002,0083,PP,00043302,01701,001,0022,Cs,00043081,01693,001,0081,PODEMOS-IU LV CA-EQUO,00033080,01300,001
CI,01,23,Jaén,00915,00514317,00509646,09909,00387765,07609,00121881,02391,00002593,00068,00005109,00132,005,0096,PSOE,00151068,03948,003,0083,PP,00074989,01960,001,0022,Cs,00060813,01589,001,,,,,
CI,01,29,Málaga,01660,01138406,01126569,09896,00814935,07234,00311634,02766,00007195,00089,00009401,00115,011,0096,PSOE,00248142,03081,004,0022,Cs,00157182,01951,002,0083,PP,00142824,01773,002,0081,PODEMOS-IU LV CA-EQUO,00116769,01450,002
CI,01,41,Sevilla,02564,01509623,01484556,09834,01117379,07527,00367177,02473,00011180,00101,00015855,00142,012,0096,PSOE,00410200,03724,005,0022,Cs,00183399,01665,002,0081,PODEMOS-IU LV CA-EQUO,00176196,01600,002,0083,PP,00159125,01445,002
CI,02,22,Huesca,00412,00165247,00165247,10000,00126003,07625,00039244,02375,00001270,00102,00001401,00111,003,0096,PSOE,00041073,03296,001,0083,PP,00025080,02013,001,0022,Cs,00024449,01962,001,,,,,
CI,02,44,Teruel,00331,00102910,00102840,09993,00079174,07699,00023666,02301,00000824,00106,00001343,00170,003,0096,PSOE,00025485,03274,001,0083,PP,00018500,02377,001,0022,Cs,00015364,01974,001,,,,,
