territory_id,comunidad_code,province_code,province_name,poll_boxes,census_total,census_counted,census_counted_percentage,voters,voters_percentage,abstention,abstention_percentage,blank_votes,blank_votes_percentage,null_votes,null_votes_percentage,deputies_total,code 1,party 1,votes 1,percentage 1,seats 1,code 2,party 2,votes 2,percentage 2,seats 2,code 3,party 3,votes 3,percentage 3,seats 3,code 4,party 4,votes 4,percentage 4,seats 4
CI,01,04,Almería,00803,00459983,00060309,01311,00040575,06728,00019734,03272,00000282,00070,00000351,00087,006,0096,PSOE,00013594,03380,003,0083,PP,00009037,02247,001,0117,VOX,00007678,01909,001,0022,Cs,00005927,01473,001
CI,01,11,Cádiz,01521,00973219,00103668,01065,00067671,06528,00035997,03472,00000844,00126,00000847,00125,009,0096,PSOE,00024191,03620,004,0022,Cs,00012084,01808,002,0081,PODEMOS-IU LV CA-EQUO,00010154,01520,001,0083,PP,00009035,01352,001
CI,01,14,Córdoba,00913,00630661,00059985,00951,00044602,07436,00015383,02564,00000448,00102,00000676,00152,006,0096,PSOE,00018236,04152,003,0022,Cs,00006778,01543,001,0083,PP,00006707,01527,001,0081,PODEMOS-IU LV CA-EQUO,00006677,01520,001
CI,01,18,Granada,01101,00703799,00038543,00548,00027651,07174,00010892,02826,00000178,00065,00000392,00142,007,0096,PSOE,00010980,04028,003,0083,PP,00004714,01729,001,0022,Cs,00004149,01522,001,0117,VOX,00003718,01364,001
CI,01,21,Huelva,00649,00390174,00025726,00659,00017320,06732,00008406,03268,00000190,00111,00000273,00158,005,0096,PSOE,00006735,03951,002,0022,Cs,00002733,01603,001,0083,PP,00002552,01497,001,0117,VOX,00002326,01364,001
CI,01,23,Jaén,00915,00514910,00054377,01056,00039579,07279,00014798,02721,00000257,00066,00000524,00133,005,0096,PSOE,00017913,04587,003,0083,PP,00006332,01621,001,0022,Cs,00005499,01408,001,,,,,
CI,01,29,Málaga,01660,01138386,00086301,00758,00058624,06793,00027677,03207,00000495,00085,00000632,00108,011,0096,PSOE,00020635,03558,004,0022,Cs,00009823,01694,002,0083,PP,00009466,01632,002,0081,PODEMOS-IU LV CA-EQUO,00008475,01461,002
CI,01,41,Sevilla,02564,01510064,00137513,00911,00098507,07163,00039006,02837,00001055,00109,00001504,00153,012,0096,PSOE,00041838,04313,006,0081,PODEMOS-IU LV CA-EQUO,00016008,01650,002,0022,Cs,00014263,01470,002,0083,PP,00011265,01161,001
CI,02,22,Huesca,00412,00165639,00056726,03425,00043347,07641,00013379,02359,00000428,00100,00000516,00119,003,0096,PSOE,00014228,03322,001,0083,PP,00009047,02112,001,0022,Cs,00008184,01911,001,,,,,
CI,02,44,Teruel,00331,00102910,00027494,02672,00021150,07693,00006344,02307,00000203,00097,00000314,00149,003,0096,PSOE,00006720,03225,001,0083,PP,00005878,02821,001,0022,Cs,00003555,01706,001,,,,,
CI,02,50,Zaragoza,01432,00714878,00115479,01615,00087494,07577,00027985,02423,00000777,00090,00000915,00105,007,0096,PSOE,00029894,03453,003,0022,Cs,00016339,01887,001,0083,PP,00015828,01828,001,0077,PODEMOS-IU-EQUO,00011608,01341,001
CI,03,33,Asturias,01573,00856776,00197287,02303,00138229,07006,00059058,02994,00001628,00119,00001744,00126,007,0096,PSOE,00048050,03521,003,0086,PP-FORO,00025047,01835,001,0082,PODEMOS-IX-EQUO,00024330,01783,001,0022,Cs,00019835,01453,001
CI,04,07,Illes Balears,01215,00774127,00068874,00890,00046237,06713,00022637,03287,00000412,00090,00000542,00117,008,0097,PSOE,00012089,02646,003,0083,PP,00008085,01769,002,0022,Cs,00007452,01631,001,0074,PODEMOS-EUIB,00007243,01585,001
CI,05,35,Las Palmas,01510,00820404,00000000,00000,00000000,00000,00000000,00000,00000000,00000,00000000,00000,008,,,,,,,,,,,,,,,,,,,,
CI,05,38,Santa Cruz de Tenerife,01315,00752343,00000000,00000,00000000,00000,00000000,00000,00000000,00000,00000000,00000,007,,,,,,,,,,,,,,,,,,,,
CI,06,39,Cantabria,00823,00464782,00053050,01141,00041144,07756,00011906,02244,00000281,00069,00000449,00109,005,0096,PSOE,00010006,02459,002,0083,PP,00009761,02399,001,0090,PRC,00006800,01671,001,0022,Cs,00005149,01265,001
